Niveles	Lambert	Albani	Takemura	MIROC_ESM	MRI_CGCM3
1	278.098754545455	278.076818181818	278.092363636364	278.088690909091	278.078809090909
2	276.511381818182	277.134190909091	276.096745454545	274.100236363636	277.051390909091
3	274.533472727273	275.830427272727	273.930327272727	270.650409090909	276.009327272727
4	272.6602	273.856290909091	272.101754545455	267.884218181818	274.950763636364
5	271.107490909091	271.788854545455	270.1186	265.2969	273.788145454545
6	269.286345454545	269.275009090909	268.337263636364	263.137027272727	272.817245454545
7	267.783627272727	266.759254545455	268.605263636364	261.574754545454	272.070963636364
8	265.162045454545	262.731890909091	264.849645454546	260.140872727273	271.112272727273
9	262.9385	259.773418181818	263.315172727273	258.946845454545	270.120509090909
10	261.502727272727	256.447418181818	262.107372727273	257.782618181818	269.156063636364
