Niveles	Lambert	Albani	Takemura	MIROC_ESM	MRI_CGCM3
1	278.098754545455	278.076818181818	278.092363636364	278.088690909091	278.078809090909
2	277.969045454545	278.054145454545	277.847563636364	277.812254545455	277.999927272727
3	277.816627272727	278.020309090909	277.609154545455	277.507790909091	277.921190909091
4	277.638836363636	277.973809090909	277.358409090909	277.177672727273	277.841454545454
5	277.432718181818	277.915354545455	277.085945454545	276.810090909091	277.760709090909
6	277.188345454545	277.8438	276.803381818182	276.434854545455	277.676254545455
7	276.892872727273	277.758236363636	276.503154545455	276.103763636364	277.579118181818
8	276.553418181818	277.657154545455	276.158254545454	275.506636363636	277.490445454545
9	276.161390909091	277.530472727273	275.819981818182	274.978418181818	277.398454545455
10	275.703018181818	277.390963636364	275.526845454545	274.471772727273	277.303036363636
