Niveles	Lambert	Albani	Takemura	MIROC_ESM	MRI_CGCM3
1	278.098754545455	278.076818181818	278.092363636364	278.088690909091	278.078809090909
2	277.841218181818	277.429709090909	277.984118181818	277.6471	277.825772727273
3	277.552118181818	276.756009090909	277.861345454545	277.157181818182	277.5581
4	277.220518181818	276.070227272727	277.7475	276.605218181818	277.2927
5	276.815609090909	275.337609090909	277.629054545454	276.113081818182	277.021427272727
6	276.346563636364	274.478372727273	277.504727272727	275.456109090909	276.7471
7	275.766290909091	273.781409090909	277.374909090909	274.603818181818	276.469118181818
8	275.202	272.937663636364	277.239418181818	273.847081818182	276.212318181818
9	274.071572727273	272.205545454545	277.097172727273	273.223790909091	275.9036
10	273.003263636364	271.115063636364	276.948390909091	272.5556	275.5709
