Niveles	Lambert	Albani	Takemura	MIROC_ESM	MRI_CGCM3
1	278.098754545455	278.076818181818	278.092363636364	278.088690909091	278.078809090909
2	277.797745454545	277.482309090909	278.166036363636	278.279936363636	277.973890909091
3	277.445327272727	276.792036363636	278.232290909091	278.449736363636	277.869409090909
4	277.026909090909	275.931218181818	278.293745454545	278.606154545455	277.764109090909
5	276.5216	274.9989	278.356427272727	278.747118181818	277.653463636364
6	275.901954545454	273.551418181818	278.411454545455	278.872245454546	277.527881818182
7	275.376890909091	272.272245454545	278.462463636364	278.987927272727	277.411654545455
8	274.329136363636	270.528945454545	278.510618181818	279.105190909091	277.289472727273
9	273.360227272727	268.446745454545	278.550063636364	279.202554545455	277.164363636364
10	272.429627272727	265.544781818182	278.585890909091	279.312009090909	277.036236363636
