Niveles	Lambert	Albani	Takemura	MIROC_ESM	MRI_CGCM3
1	278.098754545455	278.076818181818	278.092363636364	278.088690909091	278.078809090909
2	277.848454545455	277.904245454545	278.087745454545	278.100209090909	278.0918
3	277.556545454545	277.708672727273	278.081345454545	278.104127272727	278.104072727273
4	277.221663636364	277.472327272727	278.075645454545	278.107072727273	278.118090909091
5	276.813418181818	277.207136363636	278.069490909091	278.126663636364	278.128254545455
6	276.361636363636	276.902854545455	278.065018181818	278.127063636364	278.140863636364
7	275.775936363636	276.532027272727	278.060445454545	278.130627272727	278.156236363636
8	275.354363636364	276.082772727273	278.0535	278.1323	278.162863636364
9	274.436472727273	275.560936363636	278.047	278.138772727273	278.174936363636
10	273.528336363636	275.021781818182	278.043154545455	278.145527272727	278.183127272727
