Niveles	Modelo_Lambert	Modelo_Albani	Modelo_Takemura	Modelo_MIROC-ESM	Modelo_MRI_CGCM3
1	0	0	0	0	0
2	1.58737272727268	0.942627272727293	1.9956181818182	3.9884545454546	1.02741818181818
3	3.5652818181818	2.24639090909091	4.16203636363628	7.43828181818185	2.06948181818183
4	5.43855454545456	4.22052727272722	5.990609090909	10.2044727272727	3.12804545454543
5	6.99126363636361	6.2879636363636	7.97376363636357	12.7917909090909	4.29066363636366
6	8.81240909090911	8.8018090909091	9.75509999999997	14.9516636363637	5.26156363636363
7	10.3151272727273	11.3175636363636	9.4871	16.5139363636364	6.00784545454542
8	12.9367090909091	15.3449272727273	13.2427181818181	17.9478181818182	6.96653636363641
9	15.1602545454546	18.3034	14.7771909090908	19.1418454545454	7.95829999999995
10	16.5960272727273	21.6294	15.9849909090909	20.3060727272727	8.92274545454552

