Niveles	Modelo_Lambert	Modelo_Albani	Modelo_Takemura	Modelo_MIROC-ESM	Modelo_MRI_CGCM3
1	0	0	0	0	0
2	0,301009090909133	0,594509090909071	-0,073672727272765	-0,191245454545424	0,104918181818164
3	0,653427272727185	1,28478181818178	-0,139927272727334	-0,361045454545376	0,20939999999996
4	1,07184545454544	2,1456	-0,201381818181858	-0,51746363636363	0,314699999999959
5	1,5771545454545	3,07791818181812	-0,26406363636363	-0,658427272727295	0,425345454545493
6	2,19680000000011	4,52539999999999	-0,31909090909096	-0,783554545454592	0,550927272727336
7	2,72186363636359	5,80457272727273	-0,370100000000036	-0,899236363636305	0,667154545454537
8	3,76961818181815	7,5478727272727	-0,418254545454658	-1,01650000000006	0,789336363636323
9	4,73852727272731	9,6300727272727	-0,457700000000102	-1,11386363636365	0,914445454545501
10	5,66912727272728	12,5320363636363	-0,493527272727363	-1,22331818181812	1,04257272727273

